id,tahun,tema,max_jum_tim,status,biaya_pendaftaran1,tgl_awal_gelombang1,tgl_akhir_gelombang1,biaya_pendaftaran2,tgl_awal_gelombang2,tgl_akhir_gelombang2,poin_benar,poin_salah,poin_kosong,max_poin_ac,time_freeze
1,2013,"Diversity Means Reality, Unity in Technology",3,tutup,100000,2012-11-26,2013-01-08,125000,2013-01-01,2013-03-19,5,-2,0,65,120
2,2014,IT For Bussiness,3,tutup,125000,2013-11-04,2014-02-08,100000,2013-11-04,2014-02-08,5,-2,0,20,120
3,2015,Crack The Code and Become The Aegis Of Technology,3,tutup,120000,2014-11-03,2014-12-31,150000,2014-01-01,2014-12-01,5,-2,0,20,120
4,2016,Start as a Gamer and be a Programmer,3,tutup,135000,2015-10-05,2016-10-01,150000,2015-11-30,2015-12-31,5,-2,0,50,120
5,2017,Let's Fight With Our Intelligence Creature,3,tutup,150000,2016-10-16,2016-11-20,150000,2016-11-21,2017-01-01,5,-2,0,50,120
6,2018,Growing Differently Through Innovation,3,tutup,150000,2017-10-15,2017-11-26,150000,2017-11-26,2017-12-22,5,-2,0,50,120
7,2019,Eliminate The Threat And Get Your Victory,3,tutup,150000,2018-10-15,2018-11-24,150000,2018-11-26,2018-12-21,1,-1,0,15,120
8,2020,Creativity Beyond Limit,3,tutup,150000,2019-10-07,2019-11-25,150000,2019-11-26,2019-12-21,1,-1,-1,15,120
9,2021,Society 5.0: Digitalization Era of Information System,3,buka,60000,2020-11-02,2020-12-19,60000,2020-12-21,2021-01-17,1,-1,-1,15,120
